country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode
USA,1,1,01,0,2.837615728,0,,,226
USA,0,1,00,0,-1.308489561,0,,,197
USA,0,1,01,0,1.264955044,0,,,65
USA,0,1,01,0,-1.308489561,0,,,39
USA,0,1,01,0,-1.308489561,0,,,138
USA,0,1,01,0,-0.593643785,1,,,140
USA,0,1,01,0,0.550109386,0,,,102
USA,1,1,01,0,-1.308489561,1,,,161
USA,0,1,01,0,-0.879582107,0,,,45
USA,0,1,00,0,-0.307705522,,,,147
USA,0,1,01,0,-0.307705522,0,,,140
USA,0,1,01,0,3.123553991,0,,,11
USA,0,1,01,0,-0.593643785,1,,,1
USA,1,1,00,0,1.407924294,0,,,226
USA,1,1,01,0,-0.021767221,0,,,139
USA,1,1,01,0,0.693078518,0,,,139
USA,0,1,01,0,-0.593643785,0,,,135
USA,0,1,01,0,0.264171064,0,,,146
USA,0,1,01,0,0.264171064,0,,,131
USA,1,1,01,0,1.121985912,0,,,161
USA,0,1,01,0,1.121985912,1,,,114
USA,0,1,01,0,-1.308489561,,,,157
USA,0,1,01,0,0.550109386,1,,,203
USA,0,1,01,0,-0.593643785,1,,,180
USA,0,1,03,0,-0.736612976,0,,,148
USA,0,1,01,0,-0.021767221,0,,,114
USA,0,1,01,0,0.550109386,0,,,91
USA,0,1,01,0,0.550109386,0,,,215
USA,1,1,01,0,0.121201925,0,,,161
USA,1,1,01,0,1.693862557,0,,,139
USA,1,1,01,0,0.836047649,0,,,139
USA,0,1,01,0,-0.164736375,0,,,167
USA,0,1,01,0,-0.593643785,0,,,148
USA,0,1,03,0,-0.307705522,0,,,184
USA,0,1,01,0,0.407140225,0,,,110
USA,0,1,01,0,0.121201925,0,,,29
USA,1,1,03,0,-0.307705522,1,,,139
USA,0,1,01,0,1.836831689,0,,,91
USA,1,1,02,0,2.122770071,0,,,30
USA,0,1,01,0,0.121201925,,,,23
USA,0,1,02,0,-1.16552043,0,,,86
USA,0,1,01,0,0.836047649,0,,,132
USA,1,1,01,0,2.694646597,0,,,226
USA,0,1,03,1,-1.308489561,0,,,190
USA,0,1,01,0,-0.593643785,0,,,57
USA,0,1,01,0,-1.308489561,0,,,148
USA,0,1,01,0,-0.593643785,0,,,56
USA,0,1,02,0,-0.450674653,0,,,134
USA,0,1,02,0,-0.593643785,1,,,109
USA,0,1,01,0,-0.593643785,1,,,138
USA,0,1,01,0,-1.308489561,1,,,138
USA,0,1,01,0,0.693078518,0,,,49
USA,0,1,01,0,-0.593643785,0,,,14
USA,0,1,01,0,-1.308489561,1,,,138
USA,0,1,01,0,1.693862557,0,,,107
USA,0,1,02,0,-1.16552043,0,,,137
USA,1,1,01,0,0.407140225,0,,,113
USA,0,1,01,0,-1.308489561,0,,,137
USA,0,1,01,0,-0.879582107,0,,,137
USA,0,1,01,0,1.97980082,0,,,119
USA,0,1,01,0,0.979016781,0,,,203
USA,0,1,01,0,-0.021767221,1,,,86
USA,0,1,01,0,-1.16552043,0,,,136
USA,0,1,01,0,-0.593643785,0,,,39
USA,0,1,01,0,-0.021767221,0,,,57
USA,0,1,01,0,0.693078518,1,,,102
USA,0,1,01,0,0.979016781,0,,,119
USA,0,1,01,0,-0.450674653,0,,,21
USA,0,1,01,0,-0.021767221,0,,,19
USA,0,1,01,0,0.550109386,0,,,77
USA,0,1,01,0,0.407140225,0,,,132
USA,0,1,01,0,-0.307705522,0,,,49
USA,0,1,01,0,1.97980082,0,,,54
USA,0,1,01,0,-1.16552043,0,,,9
USA,0,1,01,0,-0.593643785,0,,,225
USA,0,1,01,0,0.693078518,0,,,20
USA,0,1,01,0,-0.736612976,0,,,41
USA,0,1,01,0,-0.593643785,0,,,135
USA,0,1,01,0,1.836831689,0,,,214
USA,0,1,01,0,0.550109386,0,,,135
USA,0,1,01,0,0.693078518,0,,,102
USA,0,1,01,0,-0.736612976,1,,,147
USA,1,1,02,0,0.121201925,0,,,113
USA,0,1,03,0,0.121201925,0,,,135
USA,0,1,03,0,-0.593643785,0,,,57
USA,0,1,01,0,-0.307705522,0,,,211
USA,0,1,01,0,0.407140225,1,,,213
USA,0,1,02,0,2.551677465,0,,,25
USA,0,1,02,0,-0.307705522,1,,,225
USA,0,1,01,0,0.550109386,,,,74
USA,1,1,01,0,0.693078518,0,,,30
USA,0,1,01,0,-0.307705522,0,,,153
USA,0,1,03,0,-0.593643785,0,,,231
USA,0,1,01,0,-0.021767221,0,,,134
USA,0,1,01,0,-0.879582107,0,,,5
USA,0,1,01,0,-0.307705522,0,,,173
USA,0,1,00,0,-1.308489561,0,,,160
USA,0,1,01,0,0.550109386,1,,,134
USA,0,1,01,0,-0.307705522,0,,,134
USA,0,1,01,0,-1.16552043,0,,,8
USA,0,1,01,0,-0.736612976,0,,,8
USA,0,1,01,0,-0.307705522,1,,,117
USA,0,1,01,0,0.121201925,0,,,218
USA,0,1,01,0,-0.021767221,0,,,133
USA,0,1,01,0,0.693078518,1,,,134
USA,0,1,01,0,0.264171064,1,,,145
USA,0,1,01,0,-0.307705522,1,,,147
USA,0,1,01,0,-0.021767221,0,,,120
USA,0,1,01,0,-0.021767221,1,,,166
USA,0,1,01,0,-1.022551298,0,,,9
